id,user_id,resource_id,ssno,resource_name,author,borrow_start_time,borrow_end_time
29268,bcb046eeedde84850ef8e6e432f040ba,8047833,8047833,女青年月刊,上海中华基督教女青年会全国协会,2020/1/1 22:46,2020/1/8 22:46
29269,bcb046eeedde84850ef8e6e432f040ba,3012412,3012412,女青年,中华基督教女青年会全国协会编辑部,2020/1/1 22:47,2020/1/8 22:47
29270,bcb046eeedde84850ef8e6e432f040ba,3012413,3012413,女青年,中华基督教女青年会全国协会编辑部,2020/1/1 22:49,2020/1/8 22:49
29271,ab11968fa313ed6b11001bc51a4be26b,59016240,59016240,数字图像处理,冈萨雷斯；伍兹,2020/1/1 22:50,2020/1/8 22:50
29272,bcb046eeedde84850ef8e6e432f040ba,3012414,3012414,女青年,中华基督教女青年会全国协会编辑部,2020/1/1 22:50,2020/1/8 22:50
29273,bcb046eeedde84850ef8e6e432f040ba,3012415,3012415,女青年,中华基督教女青年会全国协会编辑部,2020/1/1 22:51,2020/1/8 22:51
29274,bcb046eeedde84850ef8e6e432f040ba,3012416,3012416,女青年,中华基督教女青年会全国协会编辑部,2020/1/1 22:51,2020/1/8 22:51
29275,bcb046eeedde84850ef8e6e432f040ba,3012417,3012417,女青年,中华基督教会中国女青年协会编辑部,2020/1/1 22:52,2020/1/8 22:52
29276,bcb046eeedde84850ef8e6e432f040ba,8047834,8047834,女青年月刊,上海中华基督教女青年会全国协会,2020/1/1 22:54,2020/1/8 22:54
29277,131d5cd0cb0b3ad87b772ab06a75df2f,7098114,7098114,有机电致发光材料与器件导论,Introduction to organic light-emitting materials and devices；黄春辉(著)；李富友(著)；黄维（著）,2020/1/1 22:55,2020/1/8 22:55
29278,bcb046eeedde84850ef8e6e432f040ba,8047835,8047835,女青年月刊,上海中华基督教女青年会全国协会,2020/1/1 22:55,2020/1/8 22:55
29279,bcb046eeedde84850ef8e6e432f040ba,3012421,3012421,女青年,陈碧云,2020/1/1 22:57,2020/1/8 22:57
29280,bcb046eeedde84850ef8e6e432f040ba,3012422,3012422,女青年,女青年月刊社,2020/1/1 23:03,2020/1/8 23:03
29281,bcb046eeedde84850ef8e6e432f040ba,3012424,3012424,女青年,女青年月刊社,2020/1/1 23:04,2020/1/8 23:04
29282,a6643dacb23dfaa9dddef7e725681d6a,32028956,32028956,红细胞疾病基础与临床,张之南,2020/1/1 23:12,2020/1/8 23:12
